"filename", "language", "TypeScript", "Markdown", "CSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\App.css", "CSS", 0, 0, 33, 0, 0, 0, 6, 39
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\App.tsx", "TypeScript JSX", 0, 0, 0, 347, 0, 9, 45, 401
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\assets\placeholder.ts", "TypeScript", 18, 0, 0, 0, 0, 1, 1, 20
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\AiImageModal.stories.tsx", "TypeScript JSX", 0, 0, 0, 117, 0, 1, 8, 126
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\AiImageModal.tsx", "TypeScript JSX", 0, 0, 0, 608, 0, 10, 61, 679
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\README.md", "Markdown", 0, 102, 0, 0, 0, 0, 25, 127
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ComicAssembly\AiSparkleButton.tsx", "TypeScript JSX", 0, 0, 0, 81, 0, 0, 6, 87
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ComicAssembly\ComicPage.tsx", "TypeScript JSX", 0, 0, 0, 86, 0, 0, 5, 91
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ComicAssembly\DragDropLayer.tsx", "TypeScript JSX", 0, 0, 0, 180, 0, 6, 25, 211
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ComicAssembly\PageControls.stories.tsx", "TypeScript JSX", 0, 0, 0, 373, 0, 4, 21, 398
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ComicAssembly\PageControls.tsx", "TypeScript JSX", 0, 0, 0, 163, 0, 0, 15, 178
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ComicAssembly\PanelImage.tsx", "TypeScript JSX", 0, 0, 0, 139, 0, 4, 24, 167
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ComicAssembly\ResizeIndicator.tsx", "TypeScript JSX", 0, 0, 0, 194, 0, 7, 30, 231
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ComicAssembly\SvgPanel.stories.tsx", "TypeScript JSX", 0, 0, 0, 166, 0, 8, 7, 181
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ComicAssembly\SvgPanel.tsx", "TypeScript JSX", 0, 0, 0, 235, 0, 25, 38, 298
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\AiKeyModal.tsx", "TypeScript JSX", 0, 0, 0, 335, 0, 0, 37, 372
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\Header.tsx", "TypeScript JSX", 0, 0, 0, 171, 0, 0, 15, 186
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\SystemContextModal.md", "Markdown", 0, 50, 0, 0, 0, 0, 17, 67
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\SystemContextModal.stories.tsx", "TypeScript JSX", 0, 0, 0, 76, 0, 0, 7, 83
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\SystemContextModal.tsx", "TypeScript JSX", 0, 0, 0, 404, 0, 2, 46, 452
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ImageLibrary\DeleteConfirmationModal.tsx", "TypeScript JSX", 0, 0, 0, 130, 0, 0, 12, 142
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ImageLibrary\ImageLibrary.tsx", "TypeScript JSX", 0, 0, 0, 198, 0, 1, 18, 217
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ImageLibrary\LibraryImage.stories.tsx", "TypeScript JSX", 0, 0, 0, 144, 0, 1, 9, 154
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ImageLibrary\LibraryImage.tsx", "TypeScript JSX", 0, 0, 0, 120, 0, 0, 11, 131
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Modal\Modal.test.tsx", "TypeScript JSX", 0, 0, 0, 62, 0, 0, 13, 75
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Modal\Modal.tsx", "TypeScript JSX", 0, 0, 0, 108, 0, 1, 9, 118
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Modal\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 4, 11
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\TemplateSelector\TemplateSelector.tsx", "TypeScript JSX", 0, 0, 0, 135, 0, 3, 13, 151
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\index.css", "CSS", 0, 0, 45, 0, 0, 4, 11, 60
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\index.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 3, 3, 24
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 3, 16
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\services\imageGeneratorService.ts", "TypeScript", 21, 0, 0, 0, 0, 2, 4, 27
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\services\openAIImageGenerationService.ts", "TypeScript", 63, 0, 0, 0, 0, 15, 10, 88
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\services\picsumImageGenerationService.ts", "TypeScript", 35, 0, 0, 0, 0, 8, 6, 49
