"filename", "language", "JSON", "JSON with Comments", "Markdown", "HTML", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\.storybook\main.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 1, 20
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\.storybook\preview.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 2, 14
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\.storybook\preview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 2, 25
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\README.md", "Markdown", 0, 0, 41, 0, 0, 0, 0, 27, 68
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\package-lock.json", "JSON", 20107, 0, 0, 0, 0, 0, 0, 1, 20108
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\package.json", "JSON", 69, 0, 0, 0, 0, 0, 0, 1, 70
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\public\index.html", "HTML", 0, 0, 0, 23, 0, 0, 24, 1, 48
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\AiImageModal.stories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 1
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\AiImageModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, -1, 9, 50
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\README.md", "Markdown", 0, 0, 11, 0, 0, 0, 0, 0, 11
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\ReferenceImageCard.stories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 190, 1, 16, 207
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\ReferenceImageCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 194, 0, 17, 211
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\ReferenceImageSelectorModal.stories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 125, 3, 9, 137
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\ReferenceImageSelectorModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 157, 0, 21, 178
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 2
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ComicAssembly\DragDropLayer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, -1, 5
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\AppSettingsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 94, 0, 10, 104
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 2, 46
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\HelpTooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 8, 93
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\ImageLibrarySelectorModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 173, 0, 17, 190
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\SystemContextModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 2, 3, 68
