"filename", "language", "JSON", "JSON with Comments", "TypeScript", "CSS", "TypeScript JSX", "XML", "Markdown", "HTML", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\.storybook\main.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\.storybook\preview.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\.storybook\preview.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 41, 0, 0, 27, 68
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\package-lock.json", "JSON", 20107, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20108
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\package.json", "JSON", 69, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 24, 1, 48
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\App.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 347, 0, 0, 0, 9, 45, 401
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\assets\placeholder.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 1, 1, 20
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\AiImageModal\AiImageModal.stories.tsx", "TypeScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 1, 8, 127
